word,activation,imagery,pleasantness
artery,1.8889,1.8,1.7778
article,1.625,2.6,1.875
articles,1.6667,2.2,1.7778
artificial,1.5714,1.4,1.4286
artillery,2.1,2.2,1.7
artist,2.5,2.8,1.8333
artistic,2.6667,1.6,2.3333
artists,2.625,2.6,2.125
arts,1.9,2.8,2.7
as,1.5,1.0,1.5
ascent,2.125,1.2,1.875
ash,1.2222,2.6,1.4444
ashamed,2.375,1.6,1.0
asian,1.6667,2.6,1.8889
aside,1.5714,1.6,1.7143
ask,1.8,1.4,1.6
asked,1.7143,1.4,1.5714
asking,1.6,1.4,1.4
asks,1.8,1.4,1.4
asleep,1.5,2.8,2.6
aspect,1.5714,1.2,1.5714
aspects,1.2,1.2,1.4
aspirations,2.375,1.6,2.75
aspiring,2.1667,1.4,2.5
assassin,2.7778,2.8,1.0
assault,2.8571,2.6,1.0
assembled,1.6667,2.0,1.5
assemblies,2.0,1.8,1.75
assembly,2.0,1.8,1.6667
assert,2.6667,1.2,1.6667
asserted,2.2,1.4,1.6
assertive,2.8333,1.4,1.9167
assessing,2.0,1.2,2.0
assessment,2.1667,1.4,1.5
assessors,2.1111,1.4,1.6667
assets,2.0,1.6,1.8333
assign,1.8571,1.4,1.875
assigned,1.8333,1.4,1.3333
assignment,2.0,2.4,1.2222
assignments,2.0,2.4,1.4286
assist,2.1111,1.6,2.3333
assistance,1.8333,1.6,2.0
assistant,1.5556,2.4,2.0
assistants,1.8333,2.4,1.8333
associate,1.6,1.8,2.0
associated,1.5714,1.8,1.7143
associates,1.5,2.0,1.6667
association,1.6364,1.8,2.0
associations,1.5714,1.6,1.7143
assume,2.0,1.0,1.5
assumed,1.6667,1.0,1.3333
assuming,1.7143,1.2,1.5714
assumption,2.0,1.2,1.4545
assumptions,1.7143,1.2,1.5714
assurance,2.2222,1.4,2.2222
assure,1.8571,1.6,2.1429
assured,1.6667,1.6,2.0
assuring,1.8,2.0,2.0
astronomy,1.7778,2.4,2.3333
at,1.5,1.0,1.5
ate,2.0,2.2,2.1429
athletic,2.5,2.6,2.1667
atlantic,1.7778,2.6,1.6667
atlas,1.6667,3.0,1.7778
atmosphere,1.5,2.6,2.375
atom,2.0,2.4,1.4286
atoms,2.1667,2.4,1.3333
attach,1.875,1.8,2.125
attache,1.5,1.2,1.625
attached,1.6667,2.2,2.0
attack,2.5714,2.8,1.0
attacked,2.8571,2.4,1.0
attacks,2.8571,2.6,1.0
attain,2.3333,1.2,2.0
attempt,2.1667,1.2,1.3333
attempted,2.0,1.4,1.3333
attempting,2.3,1.6,1.9
attempts,2.1429,1.6,1.2857
attend,1.75,1.6,1.75
attendance,1.6667,2.0,1.8
attendant,1.7778,2.0,1.7778
attended,2.0,2.0,1.7143
attending,1.7778,1.8,1.8889
attention,2.3333,2.0,1.7778
attic,1.25,3.0,1.5
attitude,2.125,2.0,1.625
attitudes,2.5,2.0,1.8333
attorney,2.3333,2.8,1.1667
attract,2.8571,1.8,2.4286
attracted,2.4444,2.0,2.6667
attraction,2.9,2.4,2.8
attractive,2.5,2.6,2.6
attributed,1.6,1.4,1.6
attributes,1.75,1.6,1.75
audience,2.6,2.8,2.0
audiences,2.0,2.8,2.1
auditorium,2.0,3.0,1.8333
august,1.8333,2.8,2.3333
aunt,1.6667,3.0,2.3333
aura,1.7143,1.2,2.0
auspicious,2.0,1.2,1.5556
authentic,1.4286,1.6,2.2857
author,1.5455,2.4,1.8889
authorities,2.4444,2.8,1.4286
authority,2.1667,1.8,2.1
authorized,2.125,1.6,1.6667
authors,1.625,2.6,1.6667
auto,2.1111,2.6,2.2222
automatic,2.0,1.2,2.5
automatically,1.8889,1.6,2.0
automobile,2.3,3.0,2.5
automobiles,2.1818,3.0,2.1111
autonomy,1.7,1.4,2.125
autumn,1.3636,3.0,1.8889
availability,1.8889,1.2,2.5714
available,1.875,1.6,2.1667
avenue,1.3333,2.4,2.0
average,1.2857,1.8,1.8
averaged,1.7143,1.4,1.6
averages,1.5833,1.6,2.0
avert,1.6667,1.2,2.0
avocado,1.0,3.0,2.0
avoid,1.7,2.0,1.875
avoided,2.125,2.4,1.5
avoiding,2.0,2.2,1.2222
awake,2.5556,2.8,1.8571
award,1.75,3.0,2.8333
awarded,2.3,2.6,2.75
awards,1.625,2.6,2.5
aware,2.5,1.6,2.1667
awareness,2.4286,1.8,2.2
away,1.6429,2.2,1.8333
awful,1.7778,2.0,1.0
awfully,1.75,1.4,1.0
awkward,1.8182,1.8,1.0
awoke,2.125,2.0,1.8333
axis,1.3333,2.4,1.8571
aye,1.25,1.0,1.6667
babies,2.3636,3.0,2.7778
