word,activation,imagery,pleasantness
knight,1.7143,3.0,1.6667
knit,1.7,2.8,1.8333
knitting,1.7778,2.8,1.6
knock,1.875,2.8,1.5
knocked,1.75,2.2,1.25
know,1.4545,1.0,2.0
knowing,1.4,1.0,1.8333
knowledge,1.7,1.4,2.0
known,1.3333,1.4,1.6
knows,1.2857,1.4,1.0
korean,1.5,2.4,1.875
label,1.4444,2.4,1.8
labor,1.6667,2.8,1.4
laboratory,1.5833,3.0,1.5
labourer,2.0,2.4,1.6667
lack,1.4545,1.0,1.0
lacked,1.2222,1.0,1.0
lacking,1.25,1.0,1.0
ladder,1.3636,3.0,1.7143
ladies,2.0,2.6,2.125
lady,1.75,2.6,2.25
lagoon,1.6,2.4,1.6667
laid,1.8182,2.8,2.0
lair,1.3636,2.4,1.7143
lake,1.9091,3.0,1.8571
lameness,1.375,1.0,1.25
lamp,1.2727,3.0,1.7143
land,1.25,3.0,1.75
landed,1.5833,2.0,1.625
landing,1.8,2.2,1.5
landlord,1.5,2.6,1.3333
lands,1.4444,2.4,1.8
landscape,1.5556,2.4,1.8
lane,1.5385,2.8,1.6667
language,1.8571,1.2,1.9
languages,1.7778,1.0,2.0
lantern,1.25,3.0,1.25
lap,1.2222,2.4,1.4
large,1.7857,2.0,2.1
largely,1.2857,1.2,1.6667
larger,1.6,1.6,2.0
largest,1.625,1.6,2.0
last,1.2222,2.2,1.2
lasted,1.5833,1.0,2.0
lasting,1.6364,1.0,2.1429
lasts,1.6,1.2,1.8333
late,1.4,2.2,1.3333
lately,1.4,1.0,1.6667
later,1.4615,1.0,1.6667
latest,1.6364,1.2,1.7143
latin,1.3,1.8,2.1667
latter,1.3636,1.4,1.8571
latter*s,1.4,1.2,1.6667
laugh,2.4545,2.2,2.8571
laughed,2.2,2.0,2.8333
laughing,2.7273,2.8,2.8571
laughter,2.6364,2.2,2.8571
launch,2.3333,2.6,1.75
launched,2.1111,2.4,1.6
law,1.375,1.4,1.5
lawn,1.2222,3.0,1.8
laws,1.25,1.4,1.5
lawyer,1.7857,3.0,1.7
lawyers,1.75,3.0,1.75
lay,1.5556,2.6,2.0
layer,1.6364,2.0,1.8571
layers,1.5455,2.0,1.8571
laying,1.9091,2.4,1.8571
laziness,1.1667,1.6,1.125
lead,1.9091,2.2,2.1429
leader,1.875,2.4,1.75
leaders,1.875,2.0,1.5
leadership,2.2222,1.0,2.0
leading,2.0,2.4,2.2
leads,1.9333,1.6,1.9091
leaf,1.5455,3.0,2.1429
leafy,1.7,2.0,2.5
league,1.75,2.6,1.875
leakage,1.625,2.4,1.0
lean,1.375,2.2,1.5
leaned,1.4286,1.6,1.3333
leaning,1.8333,2.2,1.5
leans,1.4545,1.8,1.4286
leap,2.3,2.8,2.0
leaped,2.0909,2.8,1.8571
learn,2.4,1.8,2.0
learned,2.0,1.4,2.0
learners,1.6667,1.6,2.125
learning,1.7778,2.2,2.2
learns,2.1,1.6,2.5
learnt,1.9333,1.0,2.0909
lease,1.2222,2.0,1.4
leash,1.375,3.0,1.25
least,1.3333,1.0,1.375
leastways,1.4167,1.0,1.625
leather,1.6364,2.8,1.5714
leave,1.9,2.6,2.0
leaves,1.7273,2.2,2.0
leaving,2.0909,1.8,1.5714
lecture,1.4545,2.4,1.4286
lectures,1.2857,2.0,1.0
led,1.6,1.4,1.8333
lee,1.4444,1.0,1.8
leery,1.375,1.2,1.5
left,1.5,2.2,1.75
leg,1.4545,3.0,1.7143
legal,1.4,1.6,1.5
legate,1.5,1.0,1.5
legend,1.5556,2.2,2.0
legends,1.5714,2.0,1.3333
legions,1.5,1.8,1.625
legislation,1.4444,1.0,1.4
legislative,1.3333,1.0,1.2
legislators,1.6667,1.6,1.375
legislature,1.5,1.2,1.5
legitimate,1.4545,1.0,1.7143
legs,1.6667,3.0,1.4
leisure,1.5,1.4,2.0
lemon,1.6364,3.0,1.8571
lend,1.5833,1.6,1.75
length,1.6667,1.4,1.5
lengths,1.4,1.2,1.5
lengthy,1.4545,1.8,1.7143
lens,1.5455,3.0,1.7143
less,1.3636,1.4,1.0
lesser,1.375,1.4,1.0
lesson,1.5455,2.4,1.2857
lessons,1.625,2.4,1.25
lest,1.5833,1.0,1.25
let,1.7,1.0,1.6667
let*s,1.7,1.0,1.8333
letter,1.4444,3.0,1.8
letters,1.4444,3.0,1.8
letting,1.3846,1.0,1.8889
leukaemia,1.6429,2.0,1.4
level,1.6667,2.2,1.6
levelled,1.5,1.6,1.5
levels,1.4444,2.4,1.4
lever,1.7857,2.6,1.9
liberal,1.7143,1.4,1.3333
liberalism,1.9,1.2,1.8333
liberals,1.875,1.4,1.25
liberty,2.2222,1.6,2.2
libraries,1.7273,3.0,2.0
library,1.5455,2.8,1.8571
licence,1.6,2.8,2.0
licences,1.7,2.4,1.6667
license,1.6,2.8,2.0
licked,2.1538,2.8,2.1111
licking,2.4545,2.6,1.8571
lid,1.2,3.0,1.5
lie,1.7273,1.4,1.1429
lies,1.7,1.4,1.3333
lieutenant,1.6364,2.8,1.5714
life,2.1,2.0,2.8333
lifelong,2.0,1.0,2.4286
lifestyle,2.0909,1.2,2.1429
lifetime,1.9167,1.4,2.375
lift,1.7778,2.6,1.4
lifted,1.375,2.6,1.25
light,1.4444,3.0,1.8
lighted,1.5,1.8,1.25
lighten,1.4286,1.8,2.3
lighter,1.5,2.2,2.0
lighting,1.6667,2.4,1.8
lightly,1.2727,1.4,2.0
lightness,1.3636,1.2,1.8571
lightning,2.2727,3.0,1.4286
lights,1.6667,3.0,1.75
like,2.0,1.0,2.7143
liked,1.5,1.0,2.5
likelihood,1.25,1.0,1.75
likely,1.3333,1.0,2.2
likes,2.1111,1.4,2.2
likewise,1.4667,1.0,1.9091
liking,1.6364,1.2,2.1429
lime,1.4,3.0,2.1667
limit,1.3333,1.4,1.5
limitation,1.375,1.6,1.25
limitations,1.125,1.6,1.0
limited,1.4286,1.4,1.0
limiting,1.5,1.0,1.0
limits,1.6,1.6,1.1429
limp,1.2,2.2,1.1667
limply,1.3636,1.0,1.0
line,1.2727,2.6,1.4286
linear,1.375,2.2,1.25
lined,1.4167,1.6,1.625
lines,1.2222,3.0,1.4
linguist,1.5,1.0,1.5
linguistic,1.6429,1.0,1.9
linguists,1.3333,1.0,1.6
link,1.625,2.2,2.0
linked,1.9167,1.8,1.75
lion,2.1667,3.0,1.5
lip,1.9091,2.6,2.125
lips,2.2,3.0,2.2857
lipstick,1.8182,2.8,2.375
liquid,1.6364,2.6,2.0
liquidate,1.7273,1.2,1.375
liquor,2.375,2.4,2.2
list,1.2,2.4,1.5714
listed,1.3333,1.4,1.5
listen,1.5,1.2,1.8
listened,1.75,1.2,1.8
listener,1.7273,1.6,2.375
listeners,1.8,1.8,2.0
listening,1.7,1.8,2.0
lists,1.2222,2.2,1.3333
lit,1.4286,1.6,1.5
literacy,1.8333,1.2,2.4444
literal,1.3333,1.2,1.6667
literally,1.4444,1.0,1.6667
literary,1.5,1.0,1.8889
literature,1.8,1.8,2.2857
litigation,2.0,1.4,1.5
little,1.3333,2.0,1.6667
live,2.6667,1.0,2.3333
lived,2.1818,1.0,2.0
lively,2.5,2.4,2.6667
liver,1.5833,2.6,1.5556
lives,2.1,1.0,2.0
livestock,1.5455,3.0,1.875
living,2.5455,1.2,2.25
lo,1.3636,1.0,1.875
load,1.375,2.4,1.6
loaded,2.3333,2.2,1.6667
loading,1.875,2.2,1.6
loads,1.6667,1.8,1.5556
loafers,1.3,3.0,1.2857
loan,1.5,2.0,1.2857
loans,1.5556,1.8,1.3333
lobbied,1.4444,1.8,1.6667
lobby,1.5385,2.8,1.9
local,1.6429,1.2,1.9091
locally,1.4444,1.2,1.8333
locate,1.625,1.2,2.0
located,1.5556,1.2,1.8333
locating,2.0714,1.0,2.0909
location,1.4286,1.2,1.75
locations,1.6,1.2,1.8571
lock,1.375,2.8,1.6
locked,1.6667,2.4,1.3333
locking,2.0909,2.4,1.875
lodge,2.0,3.0,2.125
log,1.4,3.0,1.5714
logic,1.6,1.0,1.5714
logical,1.8,1.2,2.0
logically,1.5385,1.2,2.3
lonely,1.2727,2.0,1.0
long,1.4,2.0,1.7143
long-range,1.6364,1.4,2.25
long-term,2.0,1.0,1.8571
longer,1.7273,1.4,1.875
longing,1.8,1.0,1.5714
look,2.0909,1.8,2.0
look*s,1.7273,2.0,2.125
looked,2.0833,2.0,2.0
looking,1.7778,2.2,2.3333
looks,1.875,2.0,2.2
looming,1.4444,1.2,1.5
loop,1.375,2.6,1.6
loose,1.5714,2.0,1.6364
loosed,1.5,1.2,1.2
loosely,1.3333,1.6,1.3333
looser,1.5455,1.6,1.5
loosing,2.0,1.6,1.25
lopsided,1.5455,2.4,1.25
lord,1.8333,2.4,2.2222
lord*s,1.8182,2.0,2.375
lose,1.5,1.2,1.0
loser,1.25,1.4,1.0
losers,1.2222,1.4,1.0
loses,1.4444,1.2,1.0
losing,2.1333,1.2,1.0
loss,1.8182,1.0,1.0
losses,1.4,1.2,1.1429
lost,1.75,1.8,1.2222
lot,1.5,2.8,1.6
lots,1.875,1.8,1.6
lottery,2.1429,2.4,3.0
loud,2.3333,1.8,1.2222
louder,2.1818,1.2,1.5
loudly,2.3,1.0,1.7143
lousy,1.4545,1.0,1.125
love,2.6364,1.4,3.0
lovebird,2.0,2.4,2.6
loved,2.4167,1.4,3.0
lovely,1.8889,1.6,3.0
lover,3.0,2.6,3.0
lovers,2.5714,2.6,3.0
loves,2.4444,1.2,3.0
lovey,1.5,1.0,3.0
loving,2.25,1.2,3.0
low,1.0833,1.4,1.4444
lower,1.7273,1.4,1.5
lowered,1.7,2.0,1.8571
lowest,1.3636,1.8,1.125
loyal,2.1818,1.6,2.875
loyalty,1.9091,1.4,2.875
luck,2.125,1.4,2.8
lucky,2.5,1.4,2.8571
luggage,1.3333,3.0,1.8333
lullaby,1.5,2.6,2.6
lumber,1.25,2.8,1.6
luminous,2.0,1.8,2.125
lunar,1.4,2.2,2.2857
lunch,1.5556,2.6,2.1667
luncheon,1.5556,2.2,2.1667
lunches,1.5,2.4,2.0
lung,1.4167,2.6,1.8889
lungs,1.3333,3.0,1.6667
luxury,1.4444,2.0,2.6667
lying,1.5833,1.0,1.0
lynch,1.7,1.4,1.1429
lyric,1.4545,1.8,2.25
lyrics,1.6667,2.2,2.0
m&m*s,1.7778,3.0,2.8333
machine,1.5455,2.8,1.625
machinery,1.8333,2.6,1.7778
machines,2.0833,2.8,1.7778
mad,2.2,2.2,1.0
madame,1.7273,2.8,1.625
madder,2.0909,1.2,1.125
made,1.9091,1.6,2.0
magazine,1.625,2.8,1.8
magazines,1.5,2.8,2.4444
maggie,1.5,2.2,2.0
magic,2.5833,2.2,2.6667
magical,2.8,1.6,2.8571
magnetic,2.0,2.2,2.0
magnification,2.1111,2.2,2.0
magnificent,1.875,1.0,2.4
magnitude,1.7692,1.0,2.1
magnum,1.9231,1.8,2.0
maid,1.4444,3.0,1.6667
maids,1.625,3.0,1.8
mail,1.4444,3.0,2.5
mailed,1.7857,2.2,2.1818
main,1.2857,1.0,1.5
mainland,1.4,2.4,2.0
mainly,1.25,1.0,1.8
maintain,1.3333,1.2,2.0
maintained,1.7273,1.2,2.0
maintaining,2.0,1.2,2.0
maintains,1.5,1.0,2.1429
maintenance,1.9,1.8,1.2857
majestic,2.1,1.8,2.5714
majesty,2.0769,2.8,2.8
major,1.7273,1.6,1.875
majority,1.9,1.2,2.0
make,1.9091,1.2,1.875
maker,2.0,1.0,1.8571
makers,1.8182,1.0,1.75
makes,1.7,1.0,1.7143
makeup,1.7273,2.6,1.875
making,2.1818,1.2,1.75
malcontent,1.4167,1.0,1.2222
male,1.5556,2.8,2.1667
males,1.75,2.8,2.2
mama,2.1111,2.6,2.6667
man,1.875,2.8,2.0
man*s,1.8571,2.2,2.0909
manage,1.5,1.0,1.8
managed,2.0,1.0,1.6667
management,1.9091,1.8,1.75
manager,1.8182,2.4,1.5
managerial,1.6364,2.0,1.75
managers,1.75,2.4,1.6667
manchester,1.7273,1.2,2.0
mane,1.25,2.4,1.8
mangled,1.625,2.4,1.2
manhattan,1.6667,2.4,2.1667
maniacal,1.7778,1.2,1.3333
manifold,1.5333,1.6,1.8333
mankind,1.8182,1.8,2.25
manned,1.4444,1.0,1.8333
manner,1.6667,1.2,1.8889
manners,1.875,1.4,2.2
manpower,2.0,1.8,1.8
mantle,1.4286,2.2,2.25
manufacture,2.0,1.6,1.7778
manufactured,1.9091,1.4,1.75
manufacturer,1.9,2.0,1.8571
manufacturers,1.7273,2.0,1.75
manufacturing,2.0909,2.0,1.875
many,2.0,1.4,2.0
map,1.5385,2.8,2.0
maps,1.3333,2.8,2.0
marathon,2.2,2.8,1.5714
marble,1.6429,2.8,2.2727
march,2.0,2.2,2.0
marching,2.0,2.4,2.2
mare,1.5,3.0,2.2222
mares,1.75,2.8,2.0
margaret,1.6364,2.6,2.0
margin,1.2,2.6,1.8571
marginal,1.1818,1.2,1.375
maria,1.3636,2.6,2.25
marijuana,1.7273,2.8,1.625
marina,1.5,2.8,2.2
marine,1.8,2.8,2.1429
marines,1.8889,2.8,1.5
marital,2.125,1.6,2.6
mark,1.375,2.2,2.0
marked,1.9091,2.2,2.25
market,1.8,2.8,2.2857
marketing,1.8889,2.0,2.1667
markets,1.6667,2.8,2.1667
marking,2.0,2.2,2.0
marks,1.75,2.2,1.8889
marriage,2.4444,2.2,2.6667
marriages,2.1111,2.2,2.5
married,2.1667,2.0,2.7778
marry,2.4,2.2,2.8571
mars,1.5455,2.4,2.375
marshal,1.5556,2.6,1.6667
marshall,1.5556,2.6,1.5
martial,1.8182,1.8,1.75
martyrdom,1.8333,1.0,1.5556
marvellous,2.5833,1.0,3.0
masquerade,2.1,3.0,2.5714
mass,1.8182,1.8,1.875
masses,1.7273,1.4,1.625
massive,1.4545,1.6,1.875
master,1.375,2.0,1.6
masters,1.75,2.2,1.6667
mastery,1.625,1.0,1.8
match,1.75,2.6,1.8889
matched,1.8,1.4,1.7143
matches,1.7,2.0,1.4286
matching,1.8889,1.4,1.8333
mate,1.875,2.4,2.6
material,1.6154,2.8,1.9
materials,1.5385,2.6,1.8
mates,1.5556,2.6,2.3333
mathematical,1.75,1.8,1.4
mathematics,1.8889,2.4,1.8333
matter,1.6154,1.8,1.8
matters,1.4286,1.4,1.5
mature,1.7,1.2,2.1429
maturity,1.625,1.2,2.0
max,2.2222,2.6,2.0
maximum,2.1818,1.2,2.25
maxwell,1.5455,2.4,1.875
may,1.5,1.6,1.7143
maybe,1.2,1.0,2.0
mayor,1.6,2.8,1.8571
mays,1.3846,1.0,1.8
me,1.8182,2.6,2.125
meadow,1.4,3.0,2.8571
meal,1.7273,2.6,2.5
meals,1.7,2.6,2.1429
mean,1.6364,1.4,1.25
meaning,1.8,1.0,1.8571
meaningful,1.9091,1.0,2.625
meaningless,1.2727,1.0,1.25
meanings,1.8333,1.0,1.8889
means,1.4444,1.0,1.6667
meant,1.375,1.0,1.4
meantime,1.2222,1.0,1.8333
meanwhile,1.25,1.0,1.6
measure,1.6923,2.4,1.8
measured,1.625,2.2,1.6
measurement,2.0,2.8,1.6667
measurements,1.5455,2.8,1.5
measures,1.6364,2.0,1.875
measuring,1.9091,2.2,1.875
meat,1.5,3.0,2.0
meathead,1.4545,1.6,1.0
meats,1.4,2.8,1.4
mechanical,2.2,2.2,1.2
mechanics,2.5,2.0,1.5
mechanism,1.8333,1.6,1.3333
mechanisms,1.9167,1.4,1.5833
meddle,2.5,1.4,1.25
media,2.5,2.6,1.5
medical,2.3333,2.6,1.8889
medication,1.8,2.6,1.4
medicine,1.8,2.8,1.6
medieval,1.25,2.6,1.75
medium,1.6667,1.0,1.6667
meek,1.25,1.2,1.25
meet,2.1429,1.8,2.1429
meeting,2.125,1.8,1.875
meetings,2.625,2.0,1.75
meets,2.6,1.0,2.0
mellow,1.0,1.8,2.7
melodies,2.1667,1.6,3.0
melody,2.1429,1.4,2.7143
melon,1.7273,2.6,2.0
melting,1.3333,2.8,1.8333
member,1.6,1.4,1.8
members,1.8889,1.4,2.0
membership,2.1111,1.2,2.1111
memorable,1.625,1.4,2.5
memorial,1.5714,2.4,1.5714
memories,2.0,2.0,2.625
memory,1.875,1.6,2.5
men,2.0,2.8,2.375
men*s,1.8,2.0,2.0
mended,1.8571,1.6,2.0
mental,2.1667,1.2,1.5
mentally,1.6,1.0,1.4
mention,1.6,1.0,1.4
mentioned,2.125,1.0,1.875
meowing,2.2857,2.6,1.4286
mercenaries,2.5,1.8,1.3333
mercer,1.3333,1.2,1.5
merchant,1.2,2.0,1.2
merchants,1.75,1.8,1.5
mercury,1.3333,2.2,1.5
mercy,1.6667,1.2,2.0
mere,1.5556,1.0,1.6667
merely,1.4286,1.0,1.4286
merge,2.4286,1.2,1.8571
merger,2.0,1.4,1.6667
merit,1.5,1.4,2.1667
merits,1.625,1.2,2.5
merrier,2.2222,1.2,2.1111
mesmerize,2.2222,1.2,2.3333
mesmerized,1.4286,1.2,2.1429
mesmerizing,2.0,1.0,2.125
mess,1.625,2.6,1.0
message,2.25,2.0,2.375
messages,1.8,2.2,2.2
messed,2.4444,1.6,1.1111
messenger,2.0,2.4,1.4
met,1.7778,1.4,1.5556
metal,1.5714,2.6,1.5714
metaphysical,1.8571,1.2,1.2857
metaphysics,1.5,1.0,1.5
meters,1.2,2.6,1.4
method,1.8,1.2,2.1
methodist,1.7,1.0,1.4
methods,1.5,1.2,1.6667
metres,1.4,2.0,1.4
metropolitan,2.0,2.4,1.5
mexican,1.9,2.4,2.0
mexico,1.2,2.4,2.0
miami,2.0,2.4,2.4286
mice,1.8,3.0,1.0
mickey,1.8333,2.8,2.5
micro,1.5,1.4,1.75
microchip,1.625,2.4,1.5
microcircuit,1.5714,1.4,1.5714
microorganisms,1.8571,2.2,1.5714
middle,1.4286,2.6,1.5714
middle-class,1.7,2.2,1.8
midnight,1.625,2.8,2.0
midst,1.4286,1.4,2.1429
midwest,1.375,1.8,1.875
might,1.4286,1.4,1.4286
mighty,2.5,1.8,2.25
migrating,1.8571,2.2,1.5714
mike,1.625,2.0,1.625
mild,1.25,1.6,1.875
mile,1.5556,1.6,1.7778
mileage,1.1667,2.2,1.5
miles,1.2,1.6,1.6
military,2.1667,2.6,1.3333
militia,1.8,2.0,1.4
milk,1.6,3.0,1.9
mill,1.4,3.0,1.4
miller,1.8333,1.8,1.5
milling,2.0,1.2,1.625
million,2.125,2.0,2.5
millionaire,2.0,2.4,3.0
millions,2.2222,2.2,2.6667
mills,2.125,2.0,1.375
milton,1.4,1.0,1.4
mind,1.8,2.2,1.6
minding,1.5,1.0,1.8333
minds,1.3333,1.6,1.8333
mine,1.8333,1.4,2.0
mineral,1.625,2.4,1.75
minerals,1.6667,2.4,1.6667
mines,2.0,2.2,1.75
mingling,2.4,1.8,2.2
minimal,1.4,1.6,1.2
minimize,1.25,1.4,1.25
minimum,1.4444,1.6,1.4444
mining,2.0,2.2,1.5
minister,1.5714,2.8,1.4286
ministers,1.875,2.6,1.75
ministry,1.75,1.8,1.625
minor,1.2,1.4,1.2
minority,1.6,1.6,1.4
mints,1.3333,2.4,2.3333
minute,1.4286,1.8,1.7143
minutes,1.8182,1.8,1.9091
miracle,2.3333,1.8,3.0
mirage,1.6,1.8,2.0
mirror,1.6667,2.8,2.0
miscarriage,2.1111,2.8,1.1111
miscellaneous,1.75,1.6,1.625
misdeed,2.0,1.6,1.0
miserable,1.625,2.4,1.0
misery,1.625,2.4,1.0
misfortune,1.75,2.2,1.0
misleading,1.6,1.8,1.0
miss,2.0,1.4,1.5714
missed,1.3333,1.0,1.1667
missile,2.3333,2.6,1.0
missiles,2.0,2.8,1.0
missing,1.125,1.8,1.0
mission,1.8571,1.0,1.7143
missionaries,1.8333,1.4,1.6667
missionary,1.6667,2.2,1.5
missions,2.0,1.0,1.2
mississippi,1.5,2.4,1.875
missouri,1.3333,2.0,1.6667
mist,1.1667,2.2,2.0
mistake,1.4444,1.2,1.0
mistaken,1.2857,1.2,1.0
mistakes,2.1429,1.2,1.0
mister,1.5,1.8,1.5
mistreat,2.5,1.6,1.0
misunderstanding,1.875,1.2,1.125
misused,2.2222,1.0,1.1111
mitchell,1.6667,1.6,1.5556
mitten,1.4286,2.4,1.8571
mittened,1.5556,1.4,1.7778
mix,2.125,2.0,1.875
mixed,2.0,2.0,1.8571
mixing,2.4,2.0,1.6
mixture,1.7778,2.4,2.0
mm,1.0,1.4,1.8
moaning,2.2222,2.0,1.7778
mob,2.1429,2.6,1.1429
mobile,2.0,2.6,1.8571
mode,1.5,1.0,1.5
model,1.4,2.8,2.2
modelling,2.1,2.8,2.2
models,1.5,3.0,2.3
modems,1.8333,2.0,1.8333
moderate,1.6,1.0,1.8
modern,1.6667,1.8,1.6667
modernization,2.4,2.0,2.1
modest,1.2,1.0,1.8
modified,1.8571,1.2,1.7143
modish,1.4,1.0,1.4
mogul,1.8333,1.8,1.6667
moist,1.625,1.6,1.875
moisture,1.375,2.0,1.5
mold,1.2857,2.6,1.2857
molded,1.7143,2.4,2.1429
molding,2.1429,2.0,1.8571
molecular,1.7,1.0,1.6
moles,1.75,2.4,1.375
mom*s,2.0,2.2,2.7143
moment,1.1429,2.0,1.8571
moments,1.0,1.6,1.8571
momentum,2.5,1.4,2.375
mommy,1.5,2.8,3.0
mommy*s,1.875,2.6,2.5
monday,2.0,1.8,2.0
money,1.7778,3.0,2.7778
monitoring,2.1667,1.4,1.3333
monks,1.4,2.4,1.6
monopoly,1.3333,2.6,1.6667
monsieur,1.2,2.0,1.6
monstrous,2.0909,2.0,1.3636
month,1.4,2.0,1.6
monthly,1.1667,2.0,1.5
months,1.375,2.0,1.875
monument,1.25,3.0,1.875
mood,1.75,1.4,2.0
moon,1.3333,3.0,2.7778
moonlight,1.0,2.8,2.75
moose,1.6,3.0,2.0
mope,1.4,1.8,1.0
moral,1.6667,1.0,2.3333
morale,1.3333,1.0,2.1667
morality,1.5,1.0,2.4167
more,1.875,1.0,1.625
moreover,1.5,1.0,1.5
morning,1.5,2.4,2.125
mornings,1.2,2.2,1.8
moron,1.2,1.4,1.0
morons,1.25,1.4,1.0
mortal,1.7778,1.6,1.6667
mortar,1.5,1.2,1.625
mortgage,1.4286,1.6,1.1429
mossy,1.5,2.4,1.5
most,1.625,1.0,1.625
mostly,1.6,1.0,1.6
motel,1.7,2.4,1.7
mother,1.8333,3.0,2.6667
mother*s,1.5714,2.2,2.7143
mothers,1.8182,2.2,2.8182
motion,2.5,2.0,1.6667
motions,2.0,1.6,1.8
motivation,2.4444,1.6,2.4444
motive,2.2222,1.4,1.6667
motives,2.125,1.4,1.75
motor,2.4286,2.4,1.7143
motorboat,2.375,2.8,1.875
motorcycle,2.75,3.0,2.375
motors,2.125,2.8,1.625
mound,1.2,2.2,1.6
mounds,1.4286,2.0,1.5714
mount,2.0,1.8,2.0
mountain,1.0,3.0,2.0
mountains,1.4,3.0,2.2
mounted,2.125,1.8,1.875
mountie,1.8571,2.4,1.8571
mounting,2.0,2.0,1.6667
mouse,1.6667,3.0,1.6667
moustache,1.4,2.8,1.4
mouth,1.5,3.0,2.0
movable,1.6667,1.6,1.8333
move,2.3333,1.6,1.6667
moved,2.3333,1.6,1.6667
movement,2.5714,1.8,1.8571
movements,2.4286,1.8,1.8571
moves,2.6667,1.8,1.6667
movie,2.0,2.8,2.4286
movies,1.7143,2.6,2.5714
moving,2.6667,1.4,1.7778
mp,1.8,1.0,1.6
mr,1.5714,1.2,1.7143
mrs,1.6667,1.4,1.8889
much,1.75,1.4,2.0
mud,1.4286,2.4,1.2857
muddy,1.4,2.2,1.0
muffled,1.625,1.4,1.25
mufflers,1.4,2.6,1.2
mug,1.3333,2.8,1.6667
mugged,2.2857,2.0,1.1429
mugshot,1.8571,2.2,1.1429
multiple,1.6667,1.4,1.5
multiply,2.0,1.6,1.4
mum,1.6,2.4,2.4
mum*s,1.5,2.0,2.3
mumbling,1.8333,1.2,1.3333
mummy,1.0,2.4,1.8
munchies,1.8333,2.8,2.8333
municipal,1.8,1.2,1.8
murder,2.2,2.8,1.0
murderer,2.4286,2.6,1.0
murders,2.4,2.4,1.0
murmured,1.5,1.0,1.5
muscle,1.75,2.6,2.375
muscles,2.8889,3.0,2.3333
muscular,2.875,3.0,2.625
museum,1.5,2.6,1.5
museums,1.625,2.6,1.75
mushroom,1.8182,2.6,1.7273
mushy,1.4444,2.2,1.3333
music,2.5,2.2,2.875
musical,2.375,2.0,2.625
musician,2.75,3.0,2.0
musicians,2.7778,3.0,2.3333
must,2.1111,1.2,1.3333
mustangs,2.3333,3.0,2.4444
mustard,1.6667,3.0,1.6667
musty,1.4,1.2,1.0
mutineer,2.1429,1.6,1.1429
mutinied,2.3333,1.0,1.0
muttered,2.0,1.4,1.0
mutual,1.5,1.2,2.3333
mutually,1.9091,1.0,2.3636
muzzle,2.0,2.6,1.1429
muzzles,1.8571,2.6,1.2857
my,1.8889,1.6,2.3333
myself,2.0,2.6,2.5556
mysterious,2.4444,1.6,2.7778
mystery,2.6,1.4,2.6
myth,1.5556,1.4,2.3333
mythological,2.0,1.4,2.3333
nag,2.5,1.6,1.1667
nah,1.2857,1.0,1.1429
nailed,2.1429,2.0,1.1429
nails,2.0,2.6,1.5385
naively,1.6667,1.0,1.2222
naked,2.2857,3.0,2.4286
name,1.75,1.8,1.625
named,2.0,1.0,1.8333
namely,2.1667,1.0,1.3333
names,1.8,1.4,1.6
narrative,1.9,1.2,2.3
narrator,2.2222,2.6,2.2222
narrow,1.625,2.2,1.0
nation,1.7778,2.0,1.7778
nation*s,1.7778,1.4,2.0
national,2.0,1.4,2.0
nationalism,2.4545,1.2,2.3636
nationally,2.0,1.4,2.0
nations,2.0,2.0,1.875
native,1.75,2.4,1.8333
natives,1.8571,2.6,2.0
natural,1.6667,1.4,2.3333
naturally,1.8,1.4,2.2
nature,1.6364,2.8,2.7273
nauseating,2.4,2.0,1.1
naval,2.0,2.6,1.7778
navy,2.4444,2.0,1.5556
navy*s,2.0,2.0,1.4444
nazi,2.7778,3.0,1.3333
nazis,2.8333,3.0,1.3333
near,1.625,1.6,2.0
nearby,1.5714,1.6,1.7143
nearer,2.1429,1.4,1.7143
nearest,2.0,1.4,1.6667
nearing,2.5556,1.8,1.7778
nearly,1.5,1.6,1.625
neat,1.4286,2.2,1.7143
neatly,1.7143,1.6,2.1429
necessarily,1.8333,1.0,1.3333
necessary,2.1111,1.2,1.8889
necessitated,2.0,1.0,1.7143
necessities,1.8571,1.6,1.5714
necessity,1.8,1.6,2.0
neck,1.625,2.6,1.625
need,2.125,1.0,1.625
needed,2.0,1.0,1.5714
needle,2.125,2.6,1.5
needless,1.625,1.0,1.5
needn*t,1.8,1.0,1.4
needs,2.1818,1.6,1.6364
negative,2.125,1.6,1.125
neglect,1.6,1.8,1.2
neglected,2.2222,1.8,1.1111
negligible,1.5,1.0,1.25
negotiate,2.6667,1.6,1.5
negotiations,2.3333,1.6,1.4444
negro,1.5,2.6,2.0
negroes,1.7,2.6,2.1
neighbor,1.5,2.6,2.375
neighborhood,1.625,2.6,2.125
neighborhoods,2.0,2.4,2.1429
neighboring,2.1667,1.2,1.8333
neighbors,1.9091,2.6,2.5455
neighbour,1.8182,2.4,2.5455
neighbourhood,1.8571,2.4,2.4286
neighbours,1.6667,2.4,2.3333
neither,1.5714,1.0,1.2857
neon,2.3636,3.0,1.8182
nerve,2.1667,2.2,1.1667
nerves,2.5,2.2,1.5
nervous,2.6667,2.6,1.5
nest,1.5714,3.0,1.8571
net,1.7778,3.0,1.5556
netted,2.3333,1.8,1.4444
network,2.0,1.6,1.625
networks,2.25,1.4,1.5
neurotic,2.625,1.4,1.75
neutral,1.6364,1.0,1.9091
